Poling Region Length (mm),Poling Period Mismatch (nm),Pump Energy (fJ),Input_0,Input_1,Input_2,Input_3,Output_0,Output_1,Output_2,Output_3
2,-50,5,(2.7228863798574316e-06+2.0810345367922025e-08j),(-8.218435233642061e-07+2.82486073628005e-07j),(9.129549948899064e-07+4.020148627510739e-07j),(2.678509518050475e-06+2.2903867530462804e-06j),(1.8719390059845908e-06+2.1717121109765536e-06j),(-2.4549555742992e-06-5.044301501194726e-06j),(1.6477957469618332e-06+1.4726802958775487e-06j),(2.145883032378393e-06-3.2820573751535242e-06j)
2,-50,1000,(-3.8048024237770894e-05+5.757816811244296e-05j),(-2.5400257250004682e-05-2.08156802978297e-06j),(3.306825344705077e-05-2.056496294937197e-05j),(-1.1763540028945584e-06+7.190021697150986e-06j),(7.152950371613898e-05+1.4566170802865486e-07j),(5.664029144858418e-05+0.00013038840234935734j),(-4.586557172547856e-05+0.00010594294052923559j),(-0.00020544772686248436+5.353171618116548e-05j)
